Reg.Code;Region;FO;SrDD.2017;VPR.2017;ObRT.2017;RKBS.2016;KMP.2017
1000;Российская Федеpация;NA;31 745;510253,1;203029;1654,4;188
1001;Центpальный ФО;ЦФО;41 731;666426,5;258278;NA;248
31;Белгородская область;ЦФО;30 219;506420,9;203298;10025,3;150
32;Бpянская область;ЦФО;24 991;253100,4;192775;15235,7;107
33;Владимиpская область;ЦФО;23 438;300273,6;153088;10875;141
36;Воронежская область;ЦФО;29 377;370610,4;221302;16104,9;158
37;Ивановская область;ЦФО;24 754;182398,1;153993;11137,9;204
40;Калужская область;ЦФО;28 552;411565,3;183549;12578,2;144
44;Костpомская область;ЦФО;23 978;256848,4;150715;4716;153
46;Курская область;ЦФО;25 984;346340,2;176208;9731,3;100
48;Липецкая область;ЦФО;28 843;431821,2;205496;13584,3;126
50;Московская область;ЦФО;42 126;509545,2;280515;110588,8;169
57;Оpловская область;ЦФО;23 858;285354;166013;6639,4;122
62;Рязанская область;ЦФО;24 137;320764;160126;8343,1;167
67;Смоленская область;ЦФО;24 636;296289,6;166359;7842,2;180
68;Тамбовская область;ЦФО;25 950;289847,1;187776;8144,8;106
69;Твеpская область;ЦФО;24 222;297625,2;167510;10134,2;161
71;Тульская область;ЦФО;27 087;371709,4;182993;15106,3;148
76;Яpославская область;ЦФО;27 078;402639,5;177015;12678,3;226
77;г. Москва;ЦФО;65 271;1263698;363391;289713,8;445
1002;Севеpо-Западный ФО;СЗФО;34 117;588507,1;209899;NA;272
10;Республика Каpелия;СЗФО;27 303;404487,6;180295;8342,3;206
11;Республика Коми;СЗФО;32 100;679162,6;177599;12969,8;132
83;Ненецкий автономный округ;СЗФО;72 782;6288467,9;214927;13322,7;91
29;Архангельская область без АО;СЗФО;30 533;418370,2;217332;13412,5;127
35;Вологодская область;СЗФО;25 767;430625,5;145711;7398,1;224
39;Калининградская область;СЗФО;26 314;421479,2;158572;23454,5;329
47;Ленингpадская область;СЗФО;29 494;535717,3;205604;12696,8;95
51;Муpманская область;СЗФО;39 069;589996,9;216425;6279,7;154
53;Новгоpодская область;СЗФО;25 623;441932,3;183565;5313,6;133
60;Псковская область;СЗФО;23 169;237125,6;166753;63572;155
78;г. Санкт-Петеpбуpг;СЗФО;42 133;727210,6;249460;2724,2;439
1003;Южный ФО;ЮФО;27 234;326244,5;189852;NA;128
1;Республика Адыгея;ЮФО;26 357;219259,4;190240;2746,3;83
8;Республика Калмыкия;ЮФО;16 108;240454,4;70974;1892,6;67
82;Республика Крым;ЮФО;19 802;187726;120177;13412,1;116
23;Краснодарский край;ЮФО;33 269;398397,2;233909;41978,3;145
30;Астраханская область;ЮФО;22 748;413440,6;163829;8283,4;98
34;Волгоградская область;ЮФО;21 923;305129,9;145186;28876,4;114
61;Ростовская область;ЮФО;27 608;318782,2;208339;37845,2;128
92;г. Севастополь;ЮФО;28 109;164978,4;146264;2663;181
1004;Севеpо-Кавказский ФО;СКФО;22 954;190285,1;165390;NA;49
5;Республика Дагестан;СКФО;26 457;204197,4;226126;27987;21
6;Республика Ингушетия;СКФО;15 784;114844,1;46464;4796,9;31
7;Кабардино-Балкарская Республика;СКФО;20 365;160077;143289;5048,5;58
9;Карачаево-Черкесская Республика;СКФО;17 846;160110,5;79498;3465,8;53
15;Республика Северная Осетия - Алания;СКФО;22 601;182518,5;156186;3955,5;57
20;Чеченская Республика;СКФО;22 455;125471,2;111074;14872,3;20
26;Ставропольский край;СКФО;22 368;237436,5;170837;20087,9;93
1005;Приволжский ФО;ПФО;25 847;372653,7;176411;NA;160
2;Республика Башкортостан;ПФО;28 323;343509,4;206913;23579,3;127
12;Республика Маpий Эл;ПФО;19 211;247953,7;119956;4193,3;142
13;Республика Моpдовия;ПФО;18 140;264363;108326;6169,8;88
16;Республика Татарстан;ПФО;32 290;543522,4;216965;25043,8;193
18;Удмуртская Республика;ПФО;23 838;367138,2;146183;11153,7;169
21;Чувашская Республика;ПФО;17 812;219405,6;115272;12111,6;133
59;Пермский край;ПФО;28 177;453302,3;191175;23876,4;184
43;Киpовская область;ПФО;21 662;238691,9;143191;10631,4;179
52;Нижегородская область;ПФО;30 189;388808,8;215014;30805,7;190
56;Оренбургская область;ПФО;22 760;414936,9;148210;25150,5;108
58;Пензенская область;ПФО;21 248;273212,2;149020;8883,6;119
63;Самарская область;ПФО;26 954;422024,7;191827;36323,7;216
64;Саратовская область;ПФО;20 128;270766,2;134843;18587,3;116
73;Ульяновская область;ПФО;23 150;272565,4;142641;11536,8;151
1006;Уральский ФО;УФО;33 446;864539,6;206924;NA;196
45;Курганская область;УФО;20 531;236364,7;127864;6839,8;97
66;Свердловская область;УФО;35 044;495115,9;249170;41975,6;241
86;Ханты-Мансийский автономный округ Югра;УФО;48 492;2127213,5;239076;25551,3;135
89;Ямало-Ненецкий автономный округ;УФО;75 647;4581150,1;237608;27210,8;100
72;Тюменская область без АО;УФО;27 454;680908,9;237939;32396,7;215
74;Челябинская область;УФО;23 576;385559,9;140782;18732,9;200
1007;Сибирский ФО;СФО;24 378;401808,8;151164;NA;174
4;Республика Алтай;СФО;18 478;204895,4;112034;2229,7;137
3;Республика Бурятия;СФО;14 874;204770;173586;8400,4;34
17;Республика Тыва;СФО;20 114;184592,7;69158;3524,3;104
19;Республика Хакасия;СФО;22 020;386128,4;147255;4423;147
22;Алтайский край;СФО;28 635;215768,4;143873;19279,9;177
75;Забайкальский край;СФО;23 329;279443,1;147016;9503,1;160
24;Красноярский край;СФО;22 006;654513,9;177692;36675,3;116
38;Иркутская область;СФО;27 525;495348,6;133790;23225,7;296
42;Кемеровская область;СФО;24 572;391624,1;131401;23701,5;156
54;Новосибирская область;СФО;26 545;409763;170030;26609,6;205
55;Омская область;СФО;36 760;331087,6;161071;17602,6;157
70;Томская область;СФО;23 718;473792,2;135732;10901,3;113
1008;Дальневосточный ФО;ДВФО;40 288;628171,6;213001;NA;117
14;Республика Саха (Якутия);ДВФО;22 563;951220,2;220700;23332,3;70
41;Камчатский край;ДВФО;45 112;639848,2;171259;9179,5;182
25;Приморский край;ДВФО;32 121;405528;195525;16419,9;222
27;Хабаровский край;ДВФО;36 923;500442,7;231134;18470,8;208
28;Амурская область;ДВФО;29 042;332533,2;202038;15692,5;128
49;Магаданская область;ДВФО;54 581;1088347,4;213558;3571,8;168
65;Сахалинская область;ДВФО;50 287;1577910,3;289573;15819,1;182
79;Еврейская автономная область;ДВФО;23 546;322720,4;138444;2136,2;80
87;Чукотский автономный округ;ДВФО;72 814;1386085,3;183781;1950,8;74
